group,fname,flags_thresh,flags_out,flags_natoms,flags_atomids,natoms,econfig,eatom,max_fmag,min_nn1_dist
Shear,InP_shear_1581.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.866263967999998,-0.98328,10.898729354168356,4.288743403387524
Shear,InP_shear_1581.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.866263967999998,-0.98328,10.898729354168356,4.288743403387524
Shear,InP_shear_1591.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.643629387999997,-0.95545,11.288980983655966,4.21063370158222
Shear,InP_shear_1591.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.643629387999997,-0.95545,11.288980983655966,4.21063370158222
Shear,InP_shear_1601.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.8562762679999985,-0.98203,10.935022955053363,4.237688599802961
Shear,InP_shear_1601.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.8562762679999985,-0.98203,10.935022955053363,4.237688599802961
Shear,InP_shear_161.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.875355577999997,-0.98442,10.861687895891228,4.339844854473488
Shear,InP_shear_161.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.875355577999997,-0.98442,10.861687895891228,4.339844854473488
Shear,InP_shear_1611.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.548415767999998,-0.94355,11.422654356760034,4.259010358393135
Shear,InP_shear_1611.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.548415767999998,-0.94355,11.422654356760034,4.259010358393135
Shear,InP_shear_1621.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.895993607999998,-0.987,10.871457425430549,4.232481701897836
Shear,InP_shear_1621.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.895993607999998,-0.987,10.871457425430549,4.232481701897836
Shear,InP_shear_1631.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.904764317999998,-0.9881,10.857139424770825,4.232076965852582
Shear,InP_shear_1631.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.904764317999998,-0.9881,10.857139424770825,4.232076965852582
Shear,InP_shear_1641.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.408096038,-0.92601,11.654750584161208,4.231166439186717
